JP	KR
「敵の新兵器の性能が判明しない以上、どんなに寡兵だとしても侮ることはできません。各都市は防戦の準備が必要でしょう」	"적의 신무기의 성능이 판명되지 않는 이상, 아무리 적은 병력이라고 해도 깔볼 수 없습니다.각 도시는 방어전의 준비가 필요할까요 "
　カイトが報告書をめくる。	카이토가 보고서를 넘기다.
「すでに情報は四都市にも伝わっています。ベルネハイネンでは吸血鬼隊、トゥバーンでは人馬隊、ヴィエラでは儀仗隊が、すでに臨戦態勢だそうです」	"이미 정보는 네 도시에도 전해지고 있습니다.벨 네하이넹에서는 흡혈귀대, 두 바ー은에서는 인마대에 비에라가 의장대가 이미 임전 태세라고 합니다"
「カイト殿、ザリアは大丈夫ですか？」	"카이트전, 자리아는 괜찮나요?"
「あ、はい。すぐ南のシャルディールから衛兵隊が派遣されました」	"아, 네.남쪽의 샤르 디에서 위병대가 파견되었습니다"
　いい連携だ。	좋은 연계이다.
　パーカーが珍しく真剣な表情で、俺に進言した。	파커가 드문 진지한 표정으로 나에게 진언했다.
「骸骨兵は強力だが、過信は禁物だよ。相手が魔法に長けているのなら、無力化する手段があるかもしれない」	"해골 부대는 막강하나, 과신은 금물이야.상대가 마법에 능하고 있다면 무력화하는 수단이 있을지도 모른다"
「具体的には？」	"구체적으로는?"
「死霊術には、召喚された死者を強制的に冥府に送り返す術がある。三千体を追い返すのは大変だけどね」	"죽음 영술에는 소환된 사망자를 강제적으로 저승으로 돌려보내는 방법이 있다.3천마리를 물리치는은 힘들지만"
　薄々わかってはいたが、やっぱり魔法に頼った戦略は安定しないな……。	희미하게 알고는 있었지만, 역시 마법에 의존한 전략은 안정되지 않구나...
　アイリアが考え込んでいる。	아이 코리아가 골똘히 생각하고 있다.
「リューンハイトからも援軍を送りましょうか。ベルーザからお借りしている陸戦隊がいます」	"류ー은 하이트에서도 원군을 보낼까요?벨ー자에서 사용하고 있는 육 전대가 있습니다"
「そうだな。城壁の弱いベルネハイネンと、兵力の少ないザリアに増援を送っておきたいが……」	" 그렇군.성벽의 약한 벨 네하이넹과 병력이 적은 더 리어에 증원을 보내놓고 싶지만……"
　俺は地図をじっと見つめる。	나는 지도를 물끄러미 바라보다.
　どうも気になるな。	아무래도 궁금하네.
　エレオラ皇女は慎重な軍人だ。力押しで勝てる場合でも、包囲させて降伏を促す。戦力の消耗を避け、後々の統治をやりやすくするためだ。	에레 오라 왕녀는 신중한 군인이다.주먹 구구로 이길 경우에도 포위하고 항복을 촉구한다.전력 소모를 피하고 뒷날의 통치를 하기 쉽게 하기 때문이다.
　そういう意味では俺と似ているかもしれない。	그런 의미에서는 나랑 비슷할지도 모른다.
　だとすれば、この作戦は明らかにおかしい。	그렇다면 이 작전은 분명 잘못된 것이다.
　まさかエレオラ皇女が不在で、別人が指揮しているのだろうか。わからない。	설마 에레오란 왕녀가 없다며 다른 사람이 지휘하고 있을까.몰라.
　考え始めるとキリがないので、俺は一番危険なケースを想定した。	생각을 시작하면 한도 끝도 없어서, 나는 제일 위험한 경우를 상정했다.
　エレオラ皇女は健在で、必勝の策がある。	에레 오라 왕녀는 건재하는 필승의 책이 있다.
　そしてその作戦のためには、兵を四分割する必要があった。	그리고 그 작전을 위해서는 군사를 네 분할할 필요가 있었다.
　そういうことにしておこう。	그렇게 한다.
「敵側の行動の結果、こちら側が受けている影響は何だ……？」	"적국의 행동의 결과, 이쪽이 받는 영향은 무엇이다……?"
　俺のつぶやきに、バルツェが何かに気づいたように地図を指さした。	나의 글에, 바다 루츠에이 뭔가를 눈치 챈 것처럼 지도를 가리키시는.
「四都市が同時に攻撃を受けているため、この四都市は互いに他都市への援軍を出せない状態です。そして、この状況を作り出すのが目的とすれば……」	"네 도시가 동시에 공격을 받고 있어 이 네 도시는 서로 다른 도시로의 원군을 내지 못하는 상태입니다.그리고 이 상황을 만드는 것이 목적으로 하면...."
　俺はハッと気づく。	나는 번쩍 깨닫는다.
「こちらを釘付けにするための策略ですか、バルツェ殿」	"이쪽을 응시하기 위한 술책인가요, 바다 루츠에전"
「ええ、そう考えるとつじつまが合います。四つのうち、いずれかが精鋭を集めた本命かもしれません」	"네, 그러고 보니 앞뒤가 맞습니다.네개 중 어느 하나가 정예를 모은 가장 유력할지도 모릅니다"
　エレオラ皇女に七千五百の兵がいても、中身はごちゃごちゃの寄せ集めだ。士気や練度にはかなりばらつきがある。	에레 오라 왕녀에 칠천 오백의 군사가 있지만 내용은 갑옷의 오합지졸이다.사기와 련도에는 상당히 차이가 있다.
　そういうときはあまり役に立たない兵を牽制や陽動に使い、精鋭だけを動かすほうが指揮官としては楽なのだとバルツェが説明してくれた。	그러한 때는 별로 도움이 되지 않는 병사를 견제와 양동에 사용하고 정예만 놀리는 게 지휘관으로서는 편한 것이라고 바 루츠에이 설명했다.
　確かに魔王軍もそうだな。能力の差が激しいから、種族単位で使い分けている。	분명 마왕 군도 그렇구나.능력의 차이가 심하니까, 종족 단위로 쓰고 있다.
　ウォーンガングから出撃したロルムンド軍のその後の動きについては、「不和の荒野」に配置した監視砦から情報が入っている。	원 강그에서 출격한 롤뭉도군의 이후 움직임에 대해서는 "불화의 황야"에 배치한 감시 보루에서 정보가 들어 있다.
　四つの軍勢のいずれにも、魔撃大隊の兵士がいるという。	네개의 군세의 모두 마귀 공격 대대 병사들이 있다고 한다.
　これだとどれかが本命だとしてもわからないな。	이것이라면 어느 것인가가 주인공이라고 해도 모르겠네.
　本命以外の都市に増援を送ると、その兵力が無駄になってしまう。悩ましいところだ。	본명 이외의 도시에 증원을 보내면 그 병력이 허사가 되고 만다.고민.
　後方の都市からの援軍を出しづらくさせるのも、エレオラ皇女の策略か。	후방의 도시의 원군을 내기 어렵게 하는 것도, 에레오란 왕녀의 책략?
　しょうがない。魔王陛下を偵察に使おう。	소용없다.마왕 폐하를 정찰에 사용한다.
「師匠、ひとまずベルネハイネンへ飛んでもらえますか？」	"스승, 일단 벨 네하이넹에 날아 주시겠어요?"
「うむ、そうしようかの。敵の動きを見極めた上で、本命でないとわかればトゥバーンへ向かう。次にザリア、最後にヴィエラじゃな」	"음, 그럴까. 적의 움직임을 지켜보면서, 본명이 아니라고 알면 토우바ー은으로 향한다.다음에 자리아, 마지막에 비에라일세"
　師匠は転移魔法の専門家ではないので、テレポートを連発できない。全部回るのにはかなり時間がかかるだろう。それでも今は頼もしい連絡員だ。	스승은 전이 마법의 전문가가 아니라, 텔레포트를 연발할 수 없다.모두 둘러보는 데는 꽤 시간이 걸릴 것이다.그래도 지금은 든든한 연락원이다.
　しかし重要人物が前線を飛び回るのは良くないな……。	그러나 중요 인물이 전선을 날아다니는 것은 좋지 않구나...
　とりあえず前線の様子を確認することに決まったところで、アイリアが口を開く。	일단 전선의 모습을 확인하기로 정해진 곳에서 아이 코리아가 입을 연다.
「後方のベルーザとロッツォに援軍の準備を要請しましょう。本命がわかり次第、そこに援軍を送ってもらいます」	"후방의 벨ー자과 롯츠오에 원군의 준비를 요청합시다.본명으로 나타나는 대로 거기에 원군을 보내겠습니다"
　頼もしい申し出に、俺はうなずいた。	믿음직한 제안에, 나는 고개를 끄덕였다.
「わかった、それで頼む。リューンハイトの魔王軍も動かせるようにしておこう。当面は臨戦態勢で待機だ。手配をお願いしたい、バルツェ殿」	" 알았다, 그래서 부탁. 류ー은 하이트의 마왕군도 움직일 수 있도록 한다. 일단 임전 태세로 대기이다.수배를 부탁하고 싶은, 바다 루츠에전"
「お任せください」	" 맡기세요"
「こうなると、後は情報が入るまで待つしかないか……」	" 이렇게 되면 나중에는 정보가 들때까지 기다릴 수밖에 없을까......"
　いや、俺が人狼の脚力を魔法で強化して、一気に四都市の偵察をするというのもアリかもしれない。	아니, 내가 늑대 인간의 다리 힘을 마법으로 강화하며 단숨에 네 도시의 정찰을 한다는 것도 개밀지도 모른다.
　と思った瞬間に、俺は全員から両肩をつかまれた。	이라고 생각한 순간에 나는 전원으로부터 어깨를 잡혔다.
「ヴァイト殿、お待ちください」	"우아이토전, 기다리세요"
「ダメですってヴァイトさん！」	"안 됩니다라고 우아이토 씨!"
「おっと、君はここにいなきゃね！」	"그래, 넌 이곳에 있지 않으면!"
「おぬしの悪い癖じゃのう……」	"너의 나쁜 버릇이군.……"
　なんでそんなに警戒されてるの。	왜 그렇게 경계되고 있어.
　するとアイリアが笑みを浮かべて、こう言った。	그러자 아이 코리아가 미소를 지으며 이렇게 말했다.
「もう少し自重して頂かないと、そろそろ評議会で議題にしますからね、ヴァイト卿？」	"좀 더 자중하고 맡기지 않자, 이제 평의회에서 의제로 삼겠습니다~우아이토 경?"
「あ……はい……」	"아……예……"
　じっとしていよう。	가만히 있다.
　　　　＊　　　　　　＊	＊ ＊
「エレオラ戦記・その７」	"에레 오라 전기·7"
　エレオラは夜風に流れる黒髪を払いのけながら、小さくうなずく。	에레 오라는 밤 바람에 흐르는 검은 머리를 쓸어 올리며 작은 고개를 끄덕였다.
「どうやらうまくいったようだな」	"아무래도 잘 된 것 같구나"
　ボルシュ副官が敬礼する。	보르시 부관이 경례한다.
「魔撃大隊、総員異状ありません。傭兵隊も脱落者はいない模様です」	"뭐 공격 대대, 전원 이상 없습니다.용병대도 탈락자는 없는 모양입니다"
　エレオラは副官に問いかける。	에레 오라는 부관에게 묻는다.
「騎士団はちゃんとカカシになっていると思うか？」	"기사단은 제대로 허수아비가 되고 있다고 생각하나?"
「布陣しているだけで勲章がもらえるのですから、従わない理由もないとは思いますが……なんとも言えませんな」	"포진하고 있을 뿐으로 훈장을 받는 것이니 따르지 않는 이유도 없다고 생각합니다만……뭐라고 말할 수 없소"
　ロルムンドでは、受勲者には種類に応じてロルムンド本国からの恩給が生涯支払われる。	롤뭉도에서는, 수훈자에는 종류에 따라서 롤뭉도 본국의 연금이 평생 지급된다.
　報奨金を一度払うだけのミラルディアとは違うので、あまり乱発はできないが、この際そんなことは言っていられない。	포상금을 한번 낼 만큼의 미랄디아과는 다르므로 너무 남발은 못하지만, 이 때 그런 일은 하고 있을 수 없다.
「私が対処を誤ったせいで、ミラルディアの騎士団は士気が低い。敵を街に釘付けにしてくれれば十分だ。勲章を与える大義名分にもなる」	"내가 대처를 잘못된 때문에 미라 루디아의 기사단은 사기가 낮다. 적을 거리에 붙들어 놓고 주면 충분하다.훈장을 주는 명분이나 된다"
　ボルシュが眉をひそめる。	보르시가 눈썹을 찌푸리다.
「しかしロルムンド聖堂騎士章は、いささかやりすぎでは？　本国の受勲者たちに知られると面倒ですぞ」	"그러나 롤뭉도 성당 기사장은 약간 지나치지?본국의 수훈자들에게 알려지자 귀찮아요."
　エレオラ皇女が独断で与えられる勲章の中では、最上位に位置するもののひとつだ。	에레 오라 왕녀가 독단적으로 주어지는 훈장 중에서는 최상위에 위치한 것 중 하나이다.
　だがエレオラ皇女は苦笑する。	하지만 에레오란 왕녀는 쓴웃음 짓는다.
「今後への投資だ。それに彼らが任務を果たしてくれなければ、南征は失敗する。本作戦での功績は大きい。誰にも文句は言わせんよ」	"향후 투자이다. 그리고 그들이 임무를 맡아 주지 않으면 남정은 실패한다. 본 작전에서의 공적은 크다.누구에게도 불평하네"
　エレオラ皇女は魔撃書をぎゅっと握り、不敵な微笑みを浮かべる。	에레 오라 왕녀는 마귀 공격서를 꽉 잡고 당돌한 미소를 띄운다.
「南部連邦は一見すると一枚岩だが、よく見れば人間と魔族の二層に色分けされた一枚岩だ。それをつなぎ合わせているのが、あの黒狼卿だな」	"남부 연방은 어찌 보면 바위지만 알고 보면 인간과 마족의 두층으로 분류된 바위이다.그것을 연결시키고 있는 것이, 그 검정 랑경구나"
「彼を失えば、連邦にも亀裂が入るとお考えですか？」	"그를 잃으면 연방에도 금이 간다고 생각하세요?"
　副官の問いに、エレオラはうなずく。	부관의 물음에 엘레 오라는 고개를 끄덕였다.
「いずれ必ずな。南部の団結は人と人の団結だ。指導者を一人欠くだけで大きく揺らぐ。それが黒狼卿となれば、もはや団結を維持できまい」	"반드시..남부의 단결은 사람과 사람의 단결이다. 지도자를 한명 없다만 크게 흔들리다.그것이 흑랑 경과 되면 더는 단결을 유지할 수 없다"
「しかしそれは敵方も承知しております。魔都の防備は堅いでしょう」	"그러나 그것은 적들도 알고 있습니다.마도의 방비는 굳은 것입니다"
　副官の言葉に、エレオラ皇女は微笑みながら首を横に振った。	부관의 말에 에레오란 왕녀는 웃으며 고개를 가로 저었다.
「考えてもみろ、人間が魔族を守るために命がけで戦うと思うか？」	"생각해도 봐라, 인간이 마족을 지키기 위해서 목숨 걸고 싸운다고 생각하는가?"
「……確かにロルムンドでもミラルディアでも、そんなことは歴史上に一度もありませんでしたな」	"……확실히 롤뭉도에서도 미랄디아에서도 그런 것은 역사상에 한번도 없었습니다."
「ミラルディアの魔族は人間を守る。私はそれに驚愕と敬意を感じた。だが人間のほうが魔族を守ったことは、まだ一度もない」	"미랄디아의 마족은 인간을 지키다.나는 그것에 경악과 경의를 느꼈다. 하지만 인간이 마족을 지킨 것은 아직 한번도 없다"
　ミラルディア侵攻の事前調査でも、人間が魔族を守るために戦った事例は確認されていなかった。	미랄디아 침공의 사전 조사에서도 인간이 마족을 지키기 위해서 싸운 사례는 확인되지 않았다.
　そう言ったエレオラのもとに、レンコフ小隊長が駆けてくる。	그렇게 말한 에레 내가 하에, 렌 코프 소대장이 달려오다.
「突入準備が完了しました。通信機はサバンに渡してしまったので、自分は徒歩で報告です」	"돌입 준비가 완료했습니다.통신기는 사방에 내주었기 때문에 자신은 도보로 보고입니다"
「御苦労。なくなると不便だろう？」	"수고. 없어지면 불편하겠지?"
「まったくです。では」	"전혀요 그럼"
　危険な任務の最中にもかかわらず、レンコフ小隊長は笑顔で敬礼して駆け去っていった。	위험한 임무 속에서도 불구하고, 렌 코프 소대장은 웃는 얼굴로 경례하고 구케거쯔고 갔다.
　エレオラ皇女はイヤリングに触れ、命令を下す。	에레 오라 왕녀는 귀걸이가 명령을 내린다.
「サバン、聞こえるか。私だ」	"사방, 들리니?.나"
『はっ！　感度良好です』	『 헉!감도 양호합니다 』
「隠密布と暗視鏡の調子はどうだ？」	" 은밀한 천과 야시경 상태는 어떤가?"
『問題ありません』	『 문제 없습니다 』
　部下の声は落ち着いている。	부하의 목소리는 가라앉고 있다.
　エレオラ皇女は少し安堵しつつも、部下に注意を促した。	에레 오라 왕녀는 조금 안도하면서도 부하에게 주의를 촉구했다.
「隠密布は周囲の景色を真似ているだけで、透明にはなっていない。それに人狼や犬人の耳や鼻はごまかせん。過信するな」	" 은밀한 천에는 주위의 경치를 흉내내고 있을 뿐, 투명하게는 되지 않았다. 그것에 늑대 인간과 개인의 귀과 코는 속지.과신하지 마라"
『はっ、慎重に接近します』	『 예, 신중하게 접근합니다 』
「よし」	" 좋아"
　部下の頼もしい声にうなずき、エレオラ皇女は続ける。	부하의 든든한 목소리에 고개를 끄덕이거나 에레오라 아들은 계속한다.
「それと魔撃杖は設計に十分な余裕を持たせているため、最大装塡量の二倍までは暴発しない。知っているな？」	"그리고 마격 지팡이는 설계에 충분한 여유를 가지고 있어 최대 장전량의 두배까지는 폭발하지 않는다.알고 있구나?"
『はい』	예
「繰り返しになるが、発射することを考えないのであれば、三倍でも暴発はしない。ただし絶対に水平を保て。傾けると砲身内部の魔術紋が蓄魔鋼と接触するぞ」	"반복이 되지만, 발사할 생각을 하지 않으면 세배라도 폭발하지 않는다. 다만 절대로 수평을 유지하다.기울이고 포신 내부의 마술 무늬를 축마 강과 접촉한다"
『留意します』	『 유의합니다 』
　いずれも事前の打ち合わせで一度説明した内容だから、自分でも少々くどい気はする。	모두 사전 미팅에서 한번 설명한 내용이어서 스스로도 좀 느끼한 느낌이 없지.
　だが、こんなことで大事な部下を事故死させる訳にはいかない。	하지만 이런 일로 소중한 부하를 사고로 숨질 수는 없다.
　そのやりとりを聞いていたボルシュが苦笑を浮かべた。	그 이야기를 듣던 볼슈이 쓴웃음을 지었다.
「魔撃兵器の設計者であり、魔撃部隊の創設者でもあらせられる殿下が、魔撃兵器の暴発による城門爆破を計画なさるとは思いませんでしたな」	"뭐 공격 무기 설계자이자 법칙 공격 부대의 창설자인 하는 전하가 뭐 공격 무기의 오발에 의한 성문 폭파를 계획하시다니 생각 못했구나"
　エレオラ皇女は溜息をつく。	에레 오라 왕녀는 한숨을 쉬다.
「そこまで追いつめられているのだ。報告書には記載するな。後世の歴史家に知られたくない」	"거기까지 내몰리고 있는 것이다. 보고서에는 기재하지 마라.후세의 역사가에 알리고 싶지 않은 "
「心得ております」	" 알고 있습니다"
　エレオラ皇女は小高い丘から、リューンハイトの街の灯を見下ろした。	에레 오라 왕녀는 언덕에서 류ー은 하이트 거리의 불빛을 내려다봤다.
　彼女は通信機を兼ねているイヤリングに触れつつ、こう命じる。	그녀는 통신기를 겸하고 있는 귀걸이에 언급하면서 이렇게 명한다.
「全軍に通達する。本作戦の標的は魔族、ことに魔王軍最高幹部のヴァイト黒狼卿だ。人間には極力手を出すな」	"전군에 하달한다. 본 작전의 표적은 마족, 그 중 마왕 군 최고위 우아이토 흑랑 경이다.인간에게는 최대한 손대지 마라"
　彼女の軍務の中で、これほどまでに無謀でギャンブルじみた作戦は一度もない。	그녀의 군무 중에서 이토록 무모하고 도박 같은 작전은 한번도 없다.
　それでも、やるしかないのだ。	그래도 할 수밖에 없다.
「全ての作戦計画に変更はない。行動を開始せよ」	"모든 작전 계획에 변경은 없다.행동을 개시할 "
　リューンハイト西門付近の城壁の上では、犬人族の兵士たちが夜間の巡回中だった。	류ー은 하이트 서문 인근 성벽 위에서는 개인족 병사들이 야간 순찰 중이었다.
「おなかすいたね」	"배 고프네"
　柴犬に似た兵士がつぶやくと、ビーグル似の兵士が被っていた制帽を脱いだ。シャコー帽とよばれる、円筒状の長い帽子だ。	시바견과 비슷한 병사가 중얼거리자, 비글 닮은 병사가 쓰던 모자를 벗었다.샤코ー 모자라고 부르는 원통형의 긴 모자다.
　小柄な犬人たちからは、背が高く見えると人気である。	작은 개. 사람들은 키가 높아 보이면 인기다.
「ちょっと待ってね」	"좀 기다리세요"
　彼は帽子の中にごそごそ手を突っ込むと、細長くスライスされた干し芋を取り出した。	그는 모자 안에 바스락 바스락 손을 넣자, 가느다란 조각된 말린 감자를 꺼냈다.
「食べる？」	" 먹을래?"
　そう言いながらさっそく自分でもモグモグ食べている同僚に、柴犬似の兵士があきれる。	그러면서 곧 스스로도 모구모구 먹고 있는 동료들에게 시바견 닮은 병사가 기가 막히네.
「お前、どこに食べ物入れてるの」	"너 어디에 음식 들어 있는 것"
「ぼうし」	"모자"
「見りゃわかるよ」	" 볼 알아요 "
　溜息をつく柴犬似の兵士。	한숨을 쉬다 시바견 닮은 병사.
　ビーグル似の兵士はモグモグ食べながら、ふと首を傾げる。	비글 닮은 병사는 모구모구 먹다가 문득 고개를 갸웃거린다.
「干しイモきらい？」	" 말린 고구마 싫어?"
「きらいじゃないけど、制帽を食べ物入れにするなよ。ヴァイト様に怒られるよ」	" 싫어하진 않지만 제모를 먹는 정리함으로 하지.우아이토님께 혼 날게"
「えー、でもヴァイト様がこれ見て、すごく……」	"에, 그래도 우아이토님이 이거 보고, 굉장히……"
　そこまで言いかけたところで、ビーグル似の兵士が食べかけの干し芋を帽子に戻す。	거기까지 말한 곳에서 비글 닮은 병사가 먹고 있던 말린 감자를 모자에 되돌린다.
　柴犬似の兵士が首を傾げた。	시바견 닮은 병사가 고개를 갸웃거렸다.
「どしたの？」	" 어찌한?"
　するとビーグル似の兵士はくんくんと空気の匂いを嗅ぎながら、こう答えた。	그러자 비글 닮은 병사는 킁킁 공기 냄새를 맡으며 이렇게 답했다.
「なんか変なニオイがする。鳥？」	"뭔가 이상한 냄새다.새?"
「ん？　そういえば確かに……知らないニオイだなあ」	"응? 그러고 보니 확실히……모르는 냄새구나"
　柴犬似の兵士は周囲を見回す。	시바견 닮은 병사는 주위를 둘러본다.
　犬や狼同様に、彼らは夜目がきく。そのぶん色覚は弱いが、これぐらいの闇は犬人にとっては昼間とそう変わらない。	개나 늑대처럼 그들은 밤눈이 밝다.그만큼 색각은 약하지만 이 정도의 어둠은 개들에게 낮과 다르지 않다.
　しかし彼らの目をもってしても、特に異状は見あたらなかった。	그러나 그들의 눈을 가지고 특히 이상은 보이지 않았다.
　だが一瞬、城壁の外に妙なものが見え隠れしたのに柴犬似の兵士が気づいた。	이지만 한순간 성벽 바깥에 묘한 것이 어른거린다 것에 시바견 닮은 병사가 깨달았다.
　そこだけ景色が歪んでいるように見えたのだ。	그곳만 경치가 왜곡되고 있는 것처럼 보였던 것이다.
「ねえ、あそこになんかいなかった？」	"저기, 저기도 있지 않았어?"
「なんかってなに？」	"왠지는 뭐야?"
「なんかこう、チラッて……いや、グニョって、かな？」	"왠지 이렇게 치랏라고...아니, 그뇨은?"
　だがもう何も見えない。	하지만 더 이상 아무것도 안 보인다.
　二人は顔を見合わせて、首を傾げた。	두 사람은 얼굴을 마주보고 고개를 갸웃거렸다.
「なんかへん？」	"뭔가 좀 이상?"
「なんかへん！」	"뭔가 좀 이상!"
　意見が一致したので、二人はうなずく。	의견이 일치돼서 두 사람은 고개를 끄덕였다.
「みんなに報告しよう！」	"모두에게 보고하라!"
「うん！」	"응!"
　柴犬似の兵士が、首から下げている犬笛を吹こうとした瞬間。	시바견 닮은 병사가 목으로부터 내리고 있는 견적을 불던 순간.
　城門で大爆発が起きた。	성문에서 대폭발이 일어났다.
　轟音と振動が城壁を震わせ、びっくりした犬人兵たちは頭を抱えてうずくまる。	굉음과 진동이 성벽을 떨며 놀란 개인 병사들은 머리를 안고 주저앉다.
「うわあ!?」	"우왓!?"
「なに!?　なにがおきたの!?」	"뭐!?무엇이 일어났어?"
「と、とにかく笛！　笛吹こう！」	"과, 어쨌든 피리!우스이 이렇게!"
　二人はすぐに犬笛を全力で吹き鳴らす。	두 사람은 곧 견적을 힘껏 불다.
　そして叫ぶ。	그리고 외친다.
「西門が攻撃されたぞー！」	"서문이 공격된 거야!"
「敵襲だー！」	"적습-!"
　すぐに西門周辺が騒がしくなり、ベルーザ陸戦隊や犬人の警備隊が飛び出してくる。	바로 서쪽 주변이 요란하고 벨ー자 육전대와 개인 경비대가 튀어 나온다.
　そのとき遥か遠くの東門から、ズズンという鈍い爆発音が聞こえてきた。	그때 아득히 먼 동문에서 즈 쿵 하고는 둔한 폭발음이 들렸다.
「あっちも!?」	"저쪽도?"
　同時刻、リューンハイト人狼隊宿舎。	이 시각 류ー은 하이트 늑대 인간대 숙소.
「西と東で犬笛が聞こえた！　爆発音も二回聞こえた！」	"서와 동에서 견적가 들렸다!폭발 소리도 두번 들렸다!"
　当直室にいたファーンが叫び、同席していた竜人技官がうなずく。	당직실에 있던 팬이 외치며 동석했던 류진 기관이 고개를 끄덕였다.
「わかりました、緊急警報の信号を打ち上げます」	" 알겠습니다, 긴급 경보 신호를 발사합니다"
　信号弾が打ち上げられ、炸裂音と閃光が闇夜を貫く。	신호탄이 터지고 폭발 소리와 섬광이 어둠 속을 관통한다.
　蒼鱗騎士団長のバルツェが双剣を手に外に飛び出したとき、彼は一瞬でこの事態を理解した。	창린 기사 단장의 바다 루츠에이 쌍 검을 손에 밖으로 뛰어나갔을 때 그는 순식간에 이 사태를 이해했다.
「全軍に非常呼集！　内門を固めてアイリア卿とヴァイト卿をお守りしろ！　蒼鱗騎士団は東外門に急行する！」	"전군에 비상 소집. 우치 카도를 굳히고 아이 코리아 경과 우아이토 경을 지키다!창린 기사단은 히가시 토몽에 급행하다!"
　遠くから白い閃光が幾度も輝く。噂に聞く、ロルムンド軍の新兵器らしい。	멀리서 하얀 섬광이 여러번 빛난다.소문에 듣고 롤뭉도군의 새 무기 같다.
　そこにベルーザ陸戦隊のグリズが駆けつけてきた。夜目にも凶悪な出で立ちで、巨大なトゲつきメイスを担いでいる。	거기에 벨ー자 육전대 그리즈이 쳐들어왔다.밤눈에도 흉악한 차림으로 거대한 가시가 붙은 메이스를 메고 있다.
「よう、バルツェの旦那！　東西の外門が突破されたらしいな！」	"는, 바다 루츠에의 남편. 동서의 토몽이 뚫린 모양이군!"
「そのようです。応戦をお願いします」	"그런 것 같아요.응전을 부탁합니다"
「ああ、うちの連中が西の外門でやりあってる。だが新市街には、もう敵が入り込んでるらしいぜ」	"아, 우리들이 서쪽 토몽에서 말다툼하는 있지만 신스가에는 벌써 적이 들어가는 것 같아"
　バルツェは騎竜に鞍をつけると、地面を蹴って騎乗した。	바 루츠에은 기룡에 안장을 붙이면 땅바닥을 박차고 승마했다.
「接近を完全に隠蔽していたということは、市街に入り込んだ敵は少数と思われます。物量で押し返しましょう」	"접근을 완전히 은폐했다는 것은 시가에 들어갔다 적은 소수로 생각됩니다.물량으로 밀어내죠"
「おう、任せといてくれ！　あんたも死ぬなよ！」	"오, 맡기어 놓고!너도 죽지 마!"
「グリズ殿も御武運を！」	"그리즈전도 미사 무운을!"
　二人の指揮官は慌ただしく敬礼して、それぞれの部下を率いるために駆けていく。	두 지휘관은 분주하게 경례하고, 각각의 부하를 이끌기 때문에 뛰어 가.
　リューンハイトの夜空の下、白い閃光が断続的に瞬いていた。	류ー은 하이트의 밤하늘 아래 하얀 섬광이 단속적으로 반짝이고 있었다.
　　　　＊　　　　　　＊	＊ ＊
　敵襲の報告を受けたとき、俺はアイリアたちと一緒にリューンハイトの警備計画を再検討している最中だった。	적습의 보고를 받았을 때 나는 아이 코리아들과 함께 류ー은 하이트의 경비 계획을 재검토하고 있던 때였다.
　犬人兵たちの報告によれば、リューンハイトの二重の城壁のうち、外側の西門と東門が同時に破壊されたらしい。	개인 병사들의 보고에 따르면 류ー은 하이트의 이중의 성벽 중 바깥쪽의 서문과 동문이 동시에 파괴된 것 같다.
「あと、東門に敵が近づいてます！　数は三千！　ウォッドおじいちゃんが、傭兵だって教えてくれました！」	"그리고, 동문에 적이 다가옵니다. 수는 3천!우오쯔도 할아버지가 용병이라고 가르치셨습니다!"
　となると、西門は陽動か。……などとは、さすがの俺でも思わない。もう騙されないぞ。	면 서문은 양동?……등은 역시 나도 생각하지 않는다.이제 속지 않겠다.
　エレオラ皇女は手持ちの戦力に余裕がないのか、頻繁にブラフを使う。	에레 오라 왕녀는 당신의 전력에 여유가 없는지 자주 블라우를 사용한다.
　もし本当に西門が陽動なら、西門を爆破してから時間差で東門を爆破するはずだ。	만약 정말로 서문이 양동면 서문을 폭파하면서 시간 차로 동문을 폭파할 것이다.
　彼女には無線機のような魔法の道具があるから、それぐらいは可能だろう。	그녀는 무전기 같은 마법의 도구가 있으니까 그 정도는 가능할 것이다.
　しかし同時爆破ということは、西門にあまりリューンハイト側の兵力を集めたくない。「東門にも戦力を分散してほしい」という意図が透けて見える。	그러나 동시 발판다는 것은 서문에 별로 류ー은 하이트 측의 병력을 모으고 싶지 않다."동문으로도 전력을 분산하라"겠다는 의도가 드러났다.
　アイリアが腰をかがめて、伝令の犬人に尋ねる。	아이 코리아가 허리를 구부리고, 전령의 개인에게 묻는다.
「東門は傭兵だけですか？」	"동문은 용병뿐이에요?"
「はい！　騎士はいないみたいです。あと魔……なんとか大隊もいません！　ウォッドおじいちゃんが言ってました！」	"네, 기사는 없는 거 같아요.그리고 뭐……나 대대도 없어요!우오쯔도 할아버지가 말했어요!"
　口調はたどたどしいが、要点を押さえた返答だ。	어조는 비틀거리지만, 요점을 누른 답변이다.
　アイリアは侍女が持ってきた胸甲とマントを身につけながら考え込む。	아이 코리아는 시녀가 가져온 흉갑과 망토를 익히며 골똘히 생각한다.
「傭兵が主力とは思えませんね」	"용병이 주력이라고는 생각할 수 없네요 "
「同感だ、アイリア卿」	"동감이다, 아이 코리아 경"
　ミラルディアの傭兵たちは、そんなに上等な兵力ではない。	미라 루디아의 용병들은 그렇게 훌륭한 병력이 아니다.
