KR	JP
한 명은 공작 영애 【안젤리카 라파 레드그레이브】.	　一人は公爵令嬢【アンジェリカ・ラファ・レッドグレイブ】。
반짝이는 금발을 땋아 묶은, 성격이 드세 보이는 얼굴을 한 여자다.	　輝くような金髪を編み込みまとめ、気の強そうな顔をした女子だ。
붉은 눈동자는 강한 의지가 느껴지지만, 지금은 섬뜩하게 미소짓고 있다.	　赤い瞳は意志の強さを感じられるが、今は不気味に微笑んでいる。
두 명째인 【올리비아】는 안젤리카――안제와 달리 평민이다.	　二人目の【オリヴィア】は、アンジェリカ──アンジェと違って平民だ。
왕국의 학원에는 특별히 입학을 허락받은 여자로, 그 여성향 게임의 1편에서는 주인공이라는 입장에 있었다.	　王国の学園に特別に入学が許された女子で、あの乙女ゲーの一作目では主人公という立場にあった。
황갈색의 머리카락은 단발이며, 온화한 분위기를 내는 귀여운 아이다.	　亜麻色の髪はボブカットにされ、普段はほんわかした雰囲気を出す可愛い子だ。
하지만, 지금은 가까이 가기 힘든 기운을 내뿜고 있다.	　しかし、今は近寄りがたい空気を醸し出している。
표정은 없으며, 비행선 【리코르누】――아인호른급 2번함의 선실에서 공화국에도착하는 것을 기다리고 있었다.	　表情はなく、飛行船【リコルヌ】──アインホルン級二番艦の船室で、共和国に到着するのを待っていた。
지금 두 사람은 여름방학을 이용하여 공화국에 와있다.	　今、二人は夏期休暇を利用して、共和国に来ている。
이유는 두 사람의 약혼자인 리온에게 있다.	　理由は二人の婚約者であるリオンにあった。
안제가 올리비아――리비아에게 말을 건다.	　アンジェがオリヴィア──リビアに話しかける。
커다란 가슴 아래에 팔짱을 끼고, 짜증내고 있는지 오른손의 검지가 자신의 가슴을 톡톡하고 몇 번이나 두드리고 있었다.	　大きな胸の下で腕を組み、苛々しているのか右手の人差し指が自分の腕をトントンと何度も叩いていた。
「악명 높은 공화국의 검문은 언제 시작하는 거지? 벌써 한 시간이나 기다리게만들고 있어. 공화국을 눈앞에 두고 움직일 수 없는 건 답답하다고 생각하지않아?」	「悪名高い共和国の臨検はいつ始まるのだろうな？　もう一時間以上も待たされている。共和国を目の前にして、動くことも出来ないのは歯がゆいと思わないか？」
리비아는 수긍하고는 창문 밖을 바라봤다.	　リビアは頷くと、窓の外を見るのだった。
「가까이 다가왔을 뿐, 움직이질 않네요. 정말로 뭘 하고 있는 걸까요?」	「近付いてきただけで、動きが見えませんね。本当に何をしているのでしょうか？」
리코르누는 아인호른과 동형함이다.	　リコルヌはアインホルンと同型艦である。
함수가 외뿔로 보이는 특징을 갖고 있었다.	　船首が一本角に見える特徴を持っていた。
차이가 있다고 한다면, 그건 선체의 색상이다.	　違いがあるとすれば、それは船体の色だ。
아름다운 새하얀 선체는 태양에 비추어져 반짝여 보였다.	　美しい白い船体は太陽に照らされて輝いて見える。
기본 설계를 한 것은 룩시온이지만, 2번함을 멋대로 건조한 것은 【클레아레】이다.	　基本設計をしたのはルクシオンであるが、二番艦を勝手に建造したのは【クレアーレ】だ。
룩시온의 단말과 같은 구체 보디지만, 색깔은 하양.	　ルクシオンの子機と同じ球体ボディだが、色は白。
외눈의 렌즈는 색이 다른 푸른색이다.	　一つ目のレンズは青く、色違いである。それだけではなく、性格も随分と違っていた。電子音声も女性的なものである。
『혹시, 리코르누의 아름다움을 감상하고 있는 걸까?』	『もしかして、リコルヌの美しさを鑑賞しているのかしらね？』
클레아레의 예상에, 안제가 의자에서 일어섰다.	　クレアーレの予想に、アンジェが椅子から立ち上がった。
창문 밖을 차가운 눈으로 보고 있다.	　窓の外を冷たい目で見ている。
「꽤나 느긋한 모양이군. 클레아레, 공화국의 경비정에 연락해. 이 이상 기다리게 한다면, 밀고 지나가겠다고 전해」	「随分と悠長なものだな。クレアーレ、共和国の警備艇に繋げ。これ以上待たせるなら、押し通ると伝えろ」
『어머, 과격하네. 마스터를 빨리 만나고 싶다지만 너무 서두르는 거 아냐?』	『あら、過激ね。マスターに早く会いたいからって急ぎすぎじゃない？』
안제가 차가운 미소를 지었다.	　アンジェが冷たい笑みを浮かべる。
「공화국에 있는 리온이 신경 쓰여서 어쩔 줄 모르겠으니까. 네가 발견한 '로그'라고 했던가? 거기에 '불륜 중 나우'라는 게 있으면, 나 역시 마음 편히는 있을 수 없으니까」	「共和国にいるリオンの事が気になって仕方がないからな。お前が拾った〝ログ〟だったか？　あれに〝浮気中なう〟などとあれば、私だって心穏やかでいられないからな」
두 사람이 여름방학에 공화국까지 온 것은, 리온의 바람을 의심해서이다.	　二人が夏期休暇に共和国まで来たのは、リオンの浮気を疑ってのことだ。
단, 거기에 관해서는 두 사람의 생각은 달랐다.	　ただ、これに対して二人の考えは違っていた。
안제는 화를 내면서도 리온을 용서하고 있었다.	　アンジェは怒りながらもリオンを許していた。
「정말이지, 노는 것에도 순서가 있지. 우리를 방치하고 제멋대로 굴다니. 대체무슨 생각인 건지」	「まったく、遊ぶにしても順序がある。私たちを放置して好き勝手にするとは、いったい何を考えているのか」
공작가――귀족의 집안에 태어난 안제에게 있어선, 남자의 바람에 화를 내서야몸이 남아나지 않는다는 걸 알고 있었다.	　公爵家──貴族の家に生まれたアンジェにしてみれば、男の浮気に怒っていては身が持たないと知っていた。
하지만, 리비아는 다르다.	　ただ、リビアは違う。
「리온 씨가 바람이라니 믿을 수 없어요. 왜냐면, 우리에게 손을 대려 하지 않았는데, 외국에서 이 단기간에 바람이라니」	「リオンさんが浮気なんて信じられません。だって、私たちに手を出してこなかったのに、外国でこの短期間に浮気だなんて」
안제는 곤란한 얼굴로 리비아를 바라봤다.	　アンジェは困った顔をリビアに向けるのだ。
「리온도 남자니까. 리비아, 신경 써서는 앞으로 힘들 거야」	「リオンも男だからな。リビア、気にしていてはこれからもたないぞ」
「하, 하지만!」	「で、でも！」
나고 자란 환경이 달라, 사고방식도 다르다.	　生まれ育った環境が違い、考えも違う。
그런 두 사람의 대화를 끊은 것은 클레아레였다.	　そんな二人の会話を遮ったのはクレアーレだった。
『어머? 공화국의 경비정이 도망가네』	『あら？　共和国の警備艇が逃げていくわね』
그걸 들은 안제가 고개를 갸웃거린다.	　それを聞いたアンジェが首をかしげる。
「검문은 어쨌지?」	「臨検はどうした？」
「지나가도 좋데. 이상한 일이네」	『通っていいらしいわよ。変な話よね』
리비아는 조금 생각했지만, 고개를 옆으로 가로젓고 감정을 전환하고 있었다.	　リビアは少し考え込むが、首を横に振って気持ちを切り替えていた。
「하지만, 이걸로 공화국에 들어갈 수 있네요. 리온 씨가 정말로 바람을 피웠는지 알아볼 수 있어요」	「でも、これで共和国に入れますね。リオンさんが本当に浮気をしていたのか調べることが出来ます」
리비아의 진심인 눈을 보고 클레아레가 난처한 목소리를 낸다.	　リビアの本気の目を見て、クレアーレが困った声を出す。
『저, 정말로 알리지 않아도 괜찮았어? 마스터에게 두 사람이 온다고 전하는편이 좋다고 생각하는데』	『ほ、本当に知らせなくてよかったの？　マスターに二人が来る、って伝えた方がいいと思うんだけど』
거기에 관해서는 안제에게 생각이 있었다.	　それについてはアンジェに考えがあった。
「공화국까지 다가가면 싫어도 룩시온이 눈치채잖아? 미리 알려버리면 증거를없앨 시간이 늘어나버리니까. 차라리 리온 쪽에서 연락해준다면 우리가 쳐들어갈 필요도 없었어」	「共和国まで近付けば嫌でもルクシオンが気付くのだろう？　前もって知らせてしまえば、証拠を消す時間が増えてしまうからな。いっそリオンの方から連絡してくれれば、私たちが乗り込む必要もなかったのだ」
안제에게 있어서 걱정인 것은, 리온의 바람만이 아니다.	　アンジェにとって心配なのは、リオンの浮気だけではない。
리온이 진심인 것인지도 신경 쓰이지만, 상대에 대해 알고 싶었다.	　リオンが本気になっていないかも気になるが、相手のことが知りたかった。
성가신 상대였을 때가 문제다.	　厄介な相手だった場合が問題だ。
리온이 놀아날 정도의 악녀라면 용서할 수 없다.	　リオンが手玉に取られるような悪女であれば許せない。
그렇게 되면, 오기로라도 관계를 끝내게 할 생각이다.	　そうなれば、意地でも関係を終わらせるつもりだ。
하지만, 가장 귀찮은 것이 상대에게 권력이 있을 경우다.	　だが、一番面倒なのは相手に権力がある場合だ。
공화국의 귀족과 관계를 가졌다, 라고 한다면 성가시기가 그지없다.	　共和国の貴族と関係を持った、となれば厄介極まりない。
그게 격이 낮은 귀족이라면 아직 괜찮다.	　それが格の低い貴族ならまだいい。
신분이 높다면 큰 문제다.	　身分が高ければ大問題だ。
「리온 녀석, 정말로 괜찮은 거겠지?」	「リオンの奴、本当に大丈夫だろうな？」
바람은 용서할 수 없다.	　浮気は許せない。
그리고, 리온은 왕국의 영웅이며――놀더라도 조심하지 않으면 안 되는 신분이다.	　そして、リオンは王国の英雄であり──遊ぶにしても気を付けなければいけない身分だ。
안제는 또 하나의 커다란 문제를 걱정하고 있었다.	　アンジェは、もう一つ大きな問題を心配していた。
(바람피우는 상대가 마리에가 아니면 좋겠는데)	（浮気の相手がマリエでなければいいのだが）
율리우스를 시작으로 한 귀공자들을 농락한 여자――마리에.	　ユリウスをはじめとした貴公子たちを籠絡した女──マリエ。
그런 존재가 리온의 가까이에 있다.	　そんな存在がリオンの近くにいる。
그게 너무나도 신경 쓰이는 안제였다.	　それが気になって仕方がないアンジェだった。
(리온, 넌 나를――배신하지 말아줘)	（リオン、お前は私を──裏切らないでくれよ）
◇	　　　◇
공화국의 항구에 찾아왔다.	　共和国の港へとやって来た。
예정된 시간보다도 조금 늦게 입항한 비행선에, 공화국 사람들이 수군거리고있다.	　予定の時間よりも少し遅れて入港した飛行船に、共和国の人たちが騒いでいる。
긴장한 모습의 군인들.	　緊張した様子の軍人たち。
왕국에서 온 비행선은 세 척이다.	　王国から来た飛行船は三隻だ。
단, 모여든 구경꾼들이 주목하고 있는 것은 한 척뿐.	　ただし、集まった野次馬たちが注目しているのは一隻だけ。
그 하얀 비행선은 아인호른과 색은 다르지만 쏙 빼닮았었다.	　その白い飛行船はアインホルンと色違いながら、瓜二つだった。
같은 색이라면 구분이 안 갔을지도 모른다.	　同じ色なら見分けが付かなかったかもしれない。
「세세한 곳이 조금 다르려나? 어떻게 생각해, 룩시온. 룩시온?」	「細部は少し違うかな？　どう思う、ルクシオン。ルクシオン？」
리코르누가 아인호른의 옆에 정박하자, 그걸 본 룩시온이 작게 떨고 있다.	　リコルヌがアインホルンの隣に停泊すると、それを見たルクシオンが小刻みに震えている。
분노를 표현하고 있는 걸까? 재주가 참 좋은 녀석이네.	　怒りを表現しているのだろうか？　芸の細かい奴だ。
『잘도 저질렀군요, 클레아레』	『やってくれましたね、クレアーレ』
「어, 뭐야? 저 하얀 걸 건조한 건 네가 아냐?」	「え、何？　あの白いのを建造したのはお前じゃないの？」
『아닙니다! 제가 마련해둔 아인호른의 예비 파츠를 멋대로 써서 클레아레가 2번함을 허가도 없이 건조한 겁니다!』	『違います！　私が用意したアインホルンの予備パーツを勝手に使い、クレアーレが二番艦を許可もなく建造したのです！』
룩시온은 뿔이 나셨다.	　ルクシオンはお怒りだ。
하지만, 하얗고 예쁜 비행선을 보고 있자니 용서해주기로 한다.	　だが、白くて綺麗な飛行船を見ていると、許せてしまう。
난 아프지도 가렵지도 않으니까.	　俺は痛くも痒くもないからね。
「별로 상관없잖아. 아인호른과 같은 성능이 있다면 안심할 수 있고. 안제와 리비아가 쓰게 해줘」	「別にいいだろ。アインホルンと同程度の性能があれば安心できるし。アンジェとリビアに使ってもらえよ」
『제 설계를 변경해놨습니다. 성능은 미지수에요. 이런 짓은 용서할 수 없습니다. 잠깐 클레아레를 추궁하고 올 테니 실례하겠습니다』	『私の設計を変更しています。性能は未知数です。こんなことは許せません。ちょっとクレアーレを問い詰めてきますので、失礼いたします』
룩시온이 날아가 버렸다.	　ルクシオンが飛んでいってしまった。
그 모습을 보고 있자, 하얀 비행선에서 승강 사다리가 뻗어온다.	　それを見送ると、白い飛行船からタラップが伸びてくる。
승강 사다리를 내려오는 인영을 본 나는, 양손을 크게 흔들었다.	　タラップを降りてくる人影を見た俺は、大きく両手を振るのだった。
「어~이, 얘들아!」	「お～い、二人とも！」
오랜만의 재회에 달려가자, 두 사람 다 웃는 얼굴로 나를 맞이해――어라?	　久しぶりの再会に駆け寄ると、二人とも笑顔で俺を迎えて──あれ？
이상하네.	　おかしいな。
두 사람은 분명 웃는 얼굴인데, 어째서일까――무척 무서워 보인다.	　二人は確かに笑顔だが、どうしてだろう──とても怖く見える。
내가 뭔가 저지른 건가 하고, 점점 위축되어 간다.	　俺は何かやってしまったのかと、徐々に縮こまっていく。
「오, 오늘은 어쩐 일이야? 두 사람 다, 웃는 얼굴이 조금 무서워」	「きょ、今日はどうしたのかな？　二人とも、笑顔がちょっと怖いよ」
살펴보듯 물어보는 내게, 리비아가 얼굴을 가까이 댔다.	　探るように尋ねる俺に対して、リビアが顔を近付けてきた。
무척이나 가깝다.	　とても近い。
코가 닿아버려.	　鼻が触れてしまう。
「오랜만이에요, 리온 씨」	「お久しぶりです、リオンさん」
웃는 얼굴로 인사해오는 리비아였지만, 바로 표정이 사라져버렸다.	　笑顔で挨拶をしてくるリビアだが、すぐに表情が消えてしまった。
「그런데, 우리에게 숨기고 있는 일이 있지 않나요?」	「ところで、私たちに隠し事をしていませんか？」
그렇게 들은 나는 눈을 둥그렇게 뜨고 놀란다.	　そう言われてしまった俺は、目を丸くして驚いてしまう。
숨기는 일?	　隠し事？
너무 많아서 어떤 건지 모르겠어.	　多すぎてどれのことか分からない。
「무, 무슨 말이야?」	「な、何のことかな？」
이쪽에서 이것저것 말해버리면 위험하기에, 나는 안제 쪽으로 시선을 돌렸다.	　こちらから色々と喋ってしまうと危険なので、俺はアンジェの方へと視線を向けた。
안제는 미소짓고 있다.	　アンジェは微笑んでいる。
「건강해 보여서 안심했어. 아니, 너무 건강한 건가? 자아, 리온――전부 털어놓게 할 거다」	「元気そうで安心したよ。いや、元気すぎたのかな？　さぁ、リオン──全て喋ってもらうからな」
이런 때 나를 도와야 할 존재인 룩시온은 하얀 비행선으로 가버린 채 돌아오지 않는다.	　こんな時に俺を助けるべき存在のルクシオンは、白い飛行船に乗り込んだまま帰ってこなかった。
난 마음속으로 도움을 청했다.	　俺は心の中で助けを求める。
와라.	　来い。
오라고!	　来るんだ！
지금 날 구하지 않고 언제 날 구한다는 거냐!	　今俺を助けないで、いつ俺を助けるんだ！
부탁이니까 돌아와, 룩시온!	　頼むから帰ってこい、ルクシオン！
굳어버린 미소로 도움을 청했지만 슬프게도 마음이 통하지 않는 주종이다.	　引きつった笑みで助けを求めるが、悲しいことに心が通い合わない主従である。
마음의 목소리 따위 통할 리가 없다.	　心の声など通じるわけがない。
리비아가 내 팔을 잡는다.	　リビアが俺の腕を掴む。
그 팔을 뿌리치려고 하면 할 수 있는데, 정신적으로 굉장히 강한 힘으로 쥐어지고 있는 느낌이다.	　その手を振り解こうと思えば出来るのに、精神的に凄く強い力で握られているように感じた。
「리온 씨, 우선은 사는 곳의 체크예요」	「リオンさん、まずはお住まいのチェックですよ」
다른 쪽의 내 팔에 자신의 팔을 걸치는 안제가 귓전에 대고 속삭였다.	　もう片方の俺の腕に、自分の腕を絡めるアンジェが耳元で囁いてくる。
「오늘을 위해 여름방학 예정을 전부 끝내고 왔어. 도망칠 수 있다고 생각하지마」	「今日のために夏期休暇の予定は全て終わらせてきた。逃げられると思わないことだ」
대체 내가 뭘 했다는 거야!	　いったい俺が何をしたというのか！
이것저것 너무 많아서 어떤 게 두 사람을 화나게 만들었는지 예상할 수가 없어.	　色々とありすぎて、どれが二人の怒りに触れてしまったのか予想がつかない。
그건가?	　あれか？
공화국에서 함부로 날뛴 건가?	　共和国で好き勝手に暴れたことか？
율리우스들을 혹사시킨 건가? ――그쪽은 그리 화내지는 않겠지.	　ユリウスたちをこき使ったことか？　──そっちは別に怒らないだろうな。
아니면, 오글거리는 문장을 쓴 밀레느 님께 보낸 편지인가?	　それとも、歯の浮くような文章を書いたミレーヌ様への手紙か？
그러고 보니, 클라리스 선배에게도 편지랑 선물을 보냈었지.	　そう言えば、クラリス先輩にも手紙とお土産を贈ったな。
그게 안 좋았던 걸까?	　あれがまずかったのだろうか？
그건가, 얼마 전에 외교관으로 찾아온 디애들리 선배와 쇼핑을 즐긴 건가?	　それか、少し前に外交官として訪れたディアドリー先輩と、ショッピングを楽しんだことか？
아, 차도 마셨지.	　あ、お茶もしたな。
저녁은 꽤 비싼 레스토랑에서 즐겼다.	　夕食には、結構お高めなレストランで楽しんだ。
다른 건――다른 건――그렇구나! 마리에한테 생활비를 원조한 일이구나! 이거는 두 사람도 화내겠지.	　他には──他には──そうか！　マリエに生活費を援助したことか！　これには二人も怒るだろう。
화내려나? 하지만, 이유를 알면 동정――하지 않겠네.	　怒るかな？　でも、理由を知れば同情──しないだろうな。
마리에는 안제한테서 약혼자를 빼앗아버렸다.	　マリエはアンジェから婚約者を奪ってしまった。
그런 마리에를 안제와 리비아가 동정할 거라고는 생각되지 않네.	　そんなマリエを、アンジェとリビアが同情するとは思えない。
제길! 어떤 거에 화가 난 건지 모르겠어.	　くそっ！　どれに怒っているのか分からない。
「리온 씨, 사실을 얘기해주세요」	「リオンさん、本当のことを話してくださいね」
「각오해 둬. 상황에 따라서는 나도 진심을 내보일 거니까」	「覚悟しておけよ。場合によっては私も本気を出すからな」
나는 두 사람에게 끌려가듯, 항구를 떠났다.	　俺は二人に引きずられるように、港を去って行くのだった。
난 정말 뭘 해서 두 사람을 화내게 만든 걸까?	　本当に俺は何をして二人を怒らせてしまったのだろうか？
◇	　　　◇
마리에의 저택에서는 문제가 일어나고 있었다.	　マリエの屋敷では問題が起きていた。
여름방학을 맞이한 마리에였지만 덕분에 아침부터 밤까지 다섯 명을 돌볼 필요가 있다.	　夏期休暇に入ったマリエだったが、おかげで朝から晩まで五人の世話をする必要がある。
「뭐야! 점심을 위해 만들어놨던 수프를 먹은 건 누구야!?」	「ちょっと！　お昼のために用意していたスープを食べたのは誰!?」
아침, 점심, 저녁의 식사를 만들 필요가 있는 마리에는 아침 일찍부터 조금 무리를 해서 커다란 냄비에 수프를 만들고 있었다.	　朝、昼、晩と食事を用意する必要があるマリエは、朝一に少し無理をして大きな鍋にスープを作っていた。
이걸로 저녁――아니, 점심은 넘길 수 있다고 생각하고 있던 것이다.	　これで夕飯──いや、お昼は乗り切れると考えていたのだ。
리온은 아침부터 나가버렸지만, 그래도 저택에는 한창 먹을 때인 남학생이 다섯 명이나 있다.	　リオンは朝から出かけてしまったが、それでも屋敷には食べ盛りの男子学生が五人もいる。
점심을 위해 만들어둔 수프 외에는 빵이나 햄도 보이지 않았다.	　お昼のために用意していたスープの他には、パンやらハムなども見当たらなかった。
게다가, 사용한 것으로 보이는 식기도 방치돼있었다.	　それに、使ったと思われる食器も放置されていた。
(미, 믿을 수 없어! 내가 아침부터 저택의 청소로 바빴던 걸 모두 알고 있었을텐데!!)	（し、信じられない！　私が朝から屋敷の掃除で大忙しだったのを、みんな知っているはずなのに!!）
리온에게서 안제들이 온다고 들은 마리에는, 황급히 저택의 청소를 시작한 것이다.	　リオンからアンジェたちがやって来ると聞いたマリエは、大急ぎで屋敷の掃除に取りかかったのだ。
카일――마리에의 전속 사용인인 하프 엘프 소년도, 카라도, 지금도 분주하게청소를 하고 있다.	　カイル──マリエの専属使用人であるハーフエルフの少年も、カーラも、今も大慌てで掃除を行っている。
그런 마리에가, 이제야 점심이라며 부엌에 들어서자 이 참상이었다.	　そんなマリエが、ようやくお昼だと台所にやって来るとこの有様だった。
소리를 지르는 마리에를 걱정하여 찾아온 것은, 마실 차를 내놓고 있는 듯한지르크였다.	　声を張り上げるマリエを心配してやって来るのは、お茶の用意をしていたらしいジルクだ。
찻주전자를 한 손에 들고 있다.	　ティーポットを片手に持っている。
「왜 그러세요, 마리에 씨?」	「どうしました、マリエさん？」
지르크를 본 마리에는, 떨리는 손으로 부엌을 가리켰다.	　ジルクを見たマリエは、震える手で台所を指さす。
「모두의 점심을 먹은 건 누구야?」	「みんなのお昼を食べたのは誰？」
12시까지 한 시간도 남지 않았다.	　十二時まで一時間もない。
지금부터 여럿의 식사를 만드는 것은 어렵다.	　今から大勢の食事を用意するなど難しい。
장을 보는 것부터 시작하지 않으면 안 된다.	　買い物から始めないといけない。
최악의 경우, 남자들이 식사를 끝낸 것이라면, 카일과 카라를 데리고 자신들은외식도 괜찮다고 생각한다.	　最悪、男共が食事を済ませたのなら、カイルやカーラを連れて自分たちは外食もありだと考える。
하지만, 멋대로 점심을 먹은 것은 용서할 수 없다.	　しかし、勝手に昼食を食べられたのが許せない。
그걸 들은 지르크가 미안해하는 기색도 없이 부끄러워했다,	　それを聞いたジルクが、悪びれる様子もなく照れるのだ。
「아아, 이거 말이군요. 실은 그렉 군이 배가 고프다고 말을 꺼내서요」	「あぁ、これですか。実はグレッグ君が、お腹が空いたと言い出しましてね」
「그래. ――그렉이 그랬구나」	「そう。──グレッグがやったのね」
「아뇨. 저희도 똑같이 배가 고팠기에 다섯 명이서 뭔가 없나 하고 찾아봤어요.그랬더니 냄비에 수프가 있길래, 조금 경박했지만 빵과 햄을 꺼내와 저희끼리요리를 했습니다. 가끔은 즐거운 법이네요」	「いえ。我々も同じく空腹だったので、五人で何かないかと探しました。そしたら鍋にスープがあったので、少々はしたなかったのですがパンやハムを持ち出して自分たちで料理をしたんです。たまには楽しいものですね」
마리에는 눈을 크게 뜨고 지르크를 쳐다봤다.	　マリエは目を大きく開いてジルクを見た。
이 작은 몸에 휘몰아치는 분노를 어떻게 부딪히면 좋을까 생각하고 있는 것이다.	　この小さな体に渦巻く怒りを、どうやってぶつけてやろうかと考えていたのだ。
하지만, 지르크는 전혀 알아채지 못했다.	　だが、ジルクはまったく気が付いていない。
　台所に用意されたスープを温め、パンやハムを切るだけで料理したと言い切っている。	　台所に用意されたスープを温め、パンやハムを切るだけで料理したと言い切っている。
（それのどこが料理なのよ！　あんたら、自分たちのお昼をどうするつもりよ！）	（それのどこが料理なのよ！　あんたら、自分たちのお昼をどうするつもりよ！）
　怒鳴りたい気持ちをこらえ、マリエはすぐに五人を集めて注意することにした。	　怒鳴りたい気持ちをこらえ、マリエはすぐに五人を集めて注意することにした。
「ジルク──みんなを集めて。私が間違っていたわ。まず、この屋敷で暮らしていく上で、基礎を教えるべきだったのね」	「ジルク──みんなを集めて。私が間違っていたわ。まず、この屋敷で暮らしていく上で、基礎を教えるべきだったのね」
　これくらい考えれば分かるだろう、と思っていた自分を恥じる。	　これくらい考えれば分かるだろう、と思っていた自分を恥じる。
　最初にガツンと教えておくべきだったのだ。	　最初にガツンと教えておくべきだったのだ。
　留学で慌ただしい日々を過ごしており、放置していた問題に向き合うときが来た。	　留学で慌ただしい日々を過ごしており、放置していた問題に向き合うときが来た。
　マリエはそう思ったのだが──。	　マリエはそう思ったのだが──。
「え？　皆さん出かけましたよ」	「え？　皆さん出かけましたよ」
　──ジルク以外は出かけたらしい。	　──ジルク以外は出かけたらしい。
「出かけたですって!?」	「出かけたですって!?」
　自分たちは朝から忙しいのに、こいつらは遊び歩いている──それを知ったマリエは、我慢の限界に来ていた。	　自分たちは朝から忙しいのに、こいつらは遊び歩いている──それを知ったマリエは、我慢の限界に来ていた。
흥분하고 있는 마리에를 보고, 지르크는 진정시키려고 얘기해온다.	　興奮しているマリエを見て、ジルクが落ち着くように声をかけてくる。
「마리에 씨도 진정해주세요. 마침 좋은 과자를 얻어서, 이제부터 차를 즐기려고 했어요. 점심 전에 조금 드시지 않겠어요?」	「マリエさんも落ち着いてください。そろそろお昼ですが、お腹が空いていませんか？　丁度良いお菓子が手に入ったので、これからお茶を楽しむところです。昼食前に少し食べませんか？」
화도 나지만, 배도 고프다.	　怒ってもいるが、お腹も減っている。
마리에는 일단 원가 먹고 진정하자고 생각했다.	　マリエはとりあえず、何か食べて落ち着こうと考えた。
「알았어. 그보다 과자 같은 게 있었나? 옵――리온에게 받은 과자는 어제 다먹었고」	「分かったわ。それより、お菓子なんてあったかしら？　あに──リオンからもらったお菓子は、昨日食べちゃったし」
오빠라고 부를 뻔하여 도중에 리온이라고 고쳐 불렀다.	　兄貴と言いそうになり、途中でリオンと言い直した。
리온의 취미는 다도이며, 차에 맞는 다과를 잘 사 온다.	　リオンの趣味はお茶であり、お茶に合う茶菓子をよく買ってくる。
마리에도 얻어먹기도 하기에 불평할 수는 없지만, 비싼 과자를 언제나 사 오는오빠에게는 화도 난다.	　マリエもおこぼれにあずかれるので文句は言えないが、高いお菓子をいつも買ってくる兄には腹も立つ。
하지만, 경제적으로 지원해주는 것도 리온뿐이라서 불평도 할 수 없었다.	　しかし、経済的な支援をしてくれるのもリオンだけであり、文句も言えなかった。
부엌을 나와 식당에 들어가자, 이미 지르크가 차를 마실 준비를 하고 있었다.	　台所を出て食堂に入れば、既にジルクがお茶の用意をしていた。
마리에는 테이블 위를 보고 쇼크 받았다.	　マリエはテーブルの上を見てショックを受ける。
「뭐야 이거!」	「何よこれ！」
테이블 위에 놓여 있던 것은 평범한 다기와 과자다.	　テーブルの上に並べられていたのは、茶器やらお菓子と普通だ。
하지만, 과자의 양이 너무 많다.	　しかし、お菓子の量が多すぎる。
구입해 온 철제 깡통에 들어있던 과자들이 쌓여져 있었다.	　購入してきたスチール缶入りのお菓子たちが、積み上げられていた。
보기에도 비싼 듯한 과자뿐이다.	　見るからに高そうなお菓子ばかりだ。
지르크는 마리에가 쇼크를 받은 것을 알아채지 못한 채 자랑하였다.	　ジルクはマリエがショックを受けていることに気付かぬまま、自慢を始めるのだった。
「실은 저도 지금 돌아온 참이에요. 나갔다 온 곳에서 좋은 다기를 발견해서 구입했는데, 덤으로 찻잎과 거기에 맞는 과자도 사 왔습니다」	「実は私も今帰ってきたところなんですよ。出かけた先でいい茶器を見かけて購入したので、ついでに茶葉とそれに合うお菓子も買ってみました」
다기? 찻잎? 과자뿐만이 아니라 그것들도 구입했다고 듣고 마리에는 덜덜 떨었다.	　茶器？　茶葉？　お菓子だけではなく、それらも購入したと聞いてマリエは震えるのだった。
「샀어!? 돈은!?」	「買ったの!?　お金は!?」
지르크에게도 용돈은 주고 있지만, 애초에 대금을 건네고 있지는 않았다.	　ジルクにだってお小遣いは渡しているが、そもそも大金など持たせていなかった。
지르크는 신기해하고 있다.	　ジルクは不思議そうにしている。
「에? 아아, 모두와 먹을 걸 찾던 도중에 돈을 발견해서, 쇼핑을 나가기 전에모두와 오등분으로 나눴습니다. 보수는 인원수로 나누는 게 기본이죠」	「え？　あぁ、皆で食べ物を探している最中にお金を見つけたので、買い物に出かける前に皆で五等分にしましたよ。報酬は人数で割るのが基本です」
모험자의 후예다운 발상이다――같은 걸 생각할 마리에가 아니었다.	　冒険者の末裔らしい発想だ──などと、思うマリエではない。
먹거리 탐색을 보물 탐색에 비유해, 전리품을 나눠가졌습니다――라고 해봤자, 마리에는 웃을 수 없었다.	　食べ物探しを宝探しにたとえ、戦利品を山分けしました──と言ったところで、マリエには笑えなかった。
무엇보다, 이 저택 안에서 대금이 있다고 한다면 그건 마리에의 돈이다.	　何しろ、この屋敷の中で大金があるとすれば、それはマリエのお金である。
정확하게 말하자면, 리온에게 받은 생활비다.	　正確に言うならば、リオンからもらった生活費だ。
마리에는 식당을 뛰쳐나가 돈을 보관하고 있던 방으로 달려갔다.	　マリエは食堂を飛び出し、お金を保管していた部屋へと駆け込んだ。
아는 이들뿐이라고 방심하고 있었기에 금고 같은 데에 넣지 않고 숨겨놓고 있을 뿐이었다.	　顔見知りばかりだと油断していたため、金庫になど入れずに隠していただけだった。
책상의 서랍을 이중 바닥으로 개조한 숨겨놓은 장소는 훌륭하게도 발견되어텅 비어있다.	　机の引き出しを二重底に改造した隠し場所は、見事に発見されて空になっている。
