KR	JP
그것과 동시에 어두운 세상이 환해졌다.	それと同時に暗い世の中が明るくなった。 
ㆍ	ㆍ 
ㆍ	ㆍ 
ㆍ	ㆍ 
ㆍ	ㆍ 
ㆍ	ㆍ 
ㆍ	ㆍ 
번쩍. 내가 눈을 떴다.	ぴかっと。 私が目覚めた。 
“흠!”	"うん! " 
머릿속이 상쾌했다.	頭の中がさっぱりした。 
“아, 좋다. 역시 사람은 잠자리가 편해야 피로가 확 풀리네요.”	"あ、いいな。 やっぱり、人は寝床が楽でこそ、疲れがすっと解けましたね。" 
이곳은 더 이상 2평짜리 쪽방이 아니었다. 상련에 부탁해서 따로 마련해둔 숙소. 넓진 않으나 한 사람이 지내기엔 충분히 넉넉한 호텔 방이었다. 1등 복권에 당첨된 이후로 나는 당분간 여기서 머물기로 했다.	ここはこれ以上2坪の長屋がなかった。 商連にお願いして別に用意しておいた宿舎。 広くはないが、一人が過ごすには十分に豊かなホテル発だった。 1等宝くじに当選された後に私は当分ここに滞在することにした。 
한편.	一方、。 
-젠장! 속아 넘을 줄 알았는데, 쓸데없이 잔머리만 굵어서는!	-ちくしょう! だまされて超えると思っていたが、いたずらに利きが太くては! 
“흐흐.”	"ふふ。" 
배후령은 둥실둥실 떠오른 채 허공을 발로 찼다. 날 골탕 먹이지 못했다는 사실이 여간 분했나 보다. 음. 보고만 있어도 마음이 차분해지는 게 꼭 한폭의 풍경화처럼 아름다웠다.	ベフリョンはふわふわして浮上したまま、虚空を足で蹴った。 私を困らせなかったことがよほど悔しかったようだ。 えーと。 見るだけで心が物静かになりのが必ず一幅の風景画のように美しかった。 
“자아, 영약도 다시 챙기고··· 능력창.”	"自我、霊薬も確認して・・・ヌンリョクチャン。" 
여기서 시간을 낭비할 이유가 없었다. 나는 사냥터로 향하면서 능력창을 확인했다.	ここで時間を浪費する理由がなかった。 私は狩場に向かってヌンリョクチャンを確認した。 
+	+ 
이름: 김공자	名前:キムコンジャ 
랭크: F급	ランク:F級 
스킬(4/4)	スキル(4/4) 
1. 너처럼 되고 싶다(S+): 패시브	1. お前のようになりたい(S+):パッシブ 
2. 회귀자의 태엽시계(EX): 패시브	2. フェグィジャの発条時計(EX):パッシブ 
3. 검의 성좌(A+): 패시브	3. 剣の星座(A+):パッシブ 
4. 취익, 췩(F): 액티브	4. チュイイク、チク(F):アクティブ 
+	+ 
“좋아. 문제없군.”	"いいよ。 問題ないね。" 
스킬 슬롯이 꽉 찼다. 하지만 괜찮았다. 새로운 스킬을 얻을 때가 와도 [취익, 췩]이 있는 자리에다 덮어씌우기만 하면 그만이었다.	スキルスロットがいっぱいになった。 しかし、良かった。 新たなスキルを得る時が来ても[チュイイク、チク]がある席に責任転嫁さえすれば済むことだった。 
다음 스킬을 얻을 때까진 마음껏 사용해주마.	次のスキルを得る時までは思う存分使ってやる。 
-공자야. 내가 고민해봤는데··· 그냥 얌전히 가부좌 틀고 수련해도 괜찮은 거 같아. 괜히 몸 아프게 죽어가면서 훈련할 필요까진 없잖아? 가부좌. 정신 수양. 얼마나 멋지냐?	-孔子だよ。 私が悩んで見たが・・・そのままおとなしくあぐらをかくて修練してもいいよ。 いたずらに体が痛いほど死んでいきながら訓練する必要まではないじゃないか。 結跏趺坐。 精神修養 どんなに素晴らしいことか? 
“후우.”	"フゥー。" 
3층 사냥터에 도착.	3階、狩場に到着。 
멀리서 오크가 돌아다니고 있었다.	遠くから奥が巡回していた。 
-그르르··· 췩.	-グルル・・・チク。 
나는 오크들의 위치를 눈여겨보면서 영약을 꺼냈다. 뜨끈뜨끈한 보온병. 거기에 담아온 영약을 원샷했다.	私は奥の位置を注目し、霊薬を取り出した。 ほかほかの魔法瓶。 そこに入れてきた霊薬を一気飲みた。 
-야. 공자야? 내 말 안 들리니? 우리 얌전하게 수련하자니까? 가부좌로 수련해도 반년 안에 오러 터득하게 해줄게. 수련법에 귀천이 어디 있겠니, 응? 나만 믿어 보래도.	-だよ。 孔子? 私の声が聞こえないの? 私たち、おとなしく修練しジャニカ。 結跏趺坐で修練しても半年以内にきに身にしてあげる。 修練法に貴賤がどこいるんだ、うん? 私だけ信じてボレも。 
“크흐! 맛 좋고.”	"クフ! 美味しくて。" 
이걸 마셔보는 것은 두 번째였지만 벌써 입맛을 들일 것 같았다. 약제사가 영약을 만들어주면서 맛까지 신경 써준 게 분명했다.	これを飲んでみのは、二番目だったがもう食欲をかけそうだった。 薬剤師が霊薬を作ってくれば、味まで気を遣ってくれたのは明らかだった。 
나는 약효가 올라오길 기다리면서 말했다.	私は薬効が掲載されことを待ちながら話した。 
“검제 양반. 그거 알아요?”	"ゴムジェ人 それ知っていますか。 " 
-어? 뭐? 가부좌 틀려고?	-え? なぁに？ 結跏趺坐違うって? 
“댁은 자기가 유리할 때는 날 좀비라 부르는데, 자기가 불리할 땐 공자라고 불러요. 그리고 아까부터 댁은 나를 좀비가 아니라 공자라 불렀죠.”	"お宅は自分が有利な時は日ゾンビと呼ぶけど、自分が不利な時は孔子と呼ばれています。 そしてさっきからお宅は私をゾンビではなく、孔子と呼ばれました。" 
두근.	ドクッ。 
“습관 고치시라고 제가 친절하게 알려드리는 겁니다.”	"習慣改正と私が親切にお知らせいたします。" 
내 말이 끝나자마자 눈앞의 세상이 느릿느릿 흘러갔다.	私の言葉が終わるや否や目の前の世界がのろのろ流れた。 
심장이 쿵쾅거렸다. 쿵쾅거리는 심장과 함께 희미한 흐름이 다시 느껴졌다.	心臓が高ぶっていた。 激しく鳴る心臓と共にかすかな流れが、再び感じられた。 
오러!	きに! 
배후령이 고안한 수련법엔 확실히 효과가 있었다. 지난번 회차와 달리 이번엔 곧바로 오러가 또렷하게 잡혔다.	ベフリョンが考案した修練法には、確実に効果があった。 この間の回送とは違って、今回は直行に行ってはっきり決まった。 
“후, 우··· 후우우···.”	"後、う・・・フウウ・・・。" 
나는 숨소리를 가다듬으며 다가갔다. 움찔. 인기척을 느끼고 오크의 귀가 쭈뼛거렸다. 덩치가 거대한 이 초록색 괴물은 천천히 돌아섰다.	私は息を整え、近づいた。 ビクッと。 人の気配を感じて奥の耳が尖った。 規模が巨大な緑の怪物はゆっくりと転じた。 
-그륵?	-グルク。 
오크의 눈이 커졌다. 저 녀석 입장에선 어리둥절할 만했다. 웬 먹잇감이 지 발로 뚜벅뚜벅 걸어오는 셈일 테니까.	奥の目が大きくなった。 あいつの立場では戸惑うほどだった。 どうして餌がから足でこつこつと歩いてくるわけになるだろうから。 
-크르르르!	-クルルル! 
오크는 이 행운을 겸허하게 받아들이기로 했는지, 몽둥이를 높이 치켜들었다.	奥はこの幸運を謙虚に受け入れることにしたのか、棒を高く持ち上げた。 
내가 마음속으로 웃은 것도 그 순간이었다.	私が心の中で笑ったのもその瞬間だった。 
[스킬을 발동합니다.]	[スキルを発動します。] 
나는 입을 열었다.	私は口を開いた。 
“취··· 익! 췩···!”	"渠・・・利益! チク・・・! " 
멈칫. 오크의 눈이 아까보다 더 커졌다. 허공을 가르던 몽둥이가 도중에 멈추었다.	はっと。 奥の目がさっきより大きくなった。 空を切った棒が途中で止まった。 
-취륵··· 취익? 취···익?	-チュイルク・・・チュイイク。 渠・・・利益か。 
오크가 머리통을 갸우뚱거렸다. 한낱 먹잇감이 동족의 언어를 터득했다는 사실을 대체 어떻게 받아들여야 할지 고민하는 듯했다.	奥が頭を傾げた。 単なる餌が同族の言語を身につけたという事実をいったいどうして受け入れなければならないかどうか悩んでいるようだった。 
물론 오크의 IQ 한계상 작금의 사태를 이해하기란 불가능했으며, 나는 절호의 기회를 놓쳐버릴 정도로 IQ가 부족하지 않았다.	もちろん、奥のIQ限界から昨今の事態を理解することは不可能で、私は絶好の機会を逃してしまうほどにIQが不足しなかった。 
“취익!”	"チュイイク! " 
내 입에서 완벽한 오크어가 흘러나왔다.	私の口から完璧な奥が流れた。 
그야말로 원어민 수준을 방불케 하는 오크어 솜씨!	それこそネイティブレベルを彷彿させるオック語の腕! 
-크르? 취···륵?	-クル。 渠・・・ルク。 
눈앞의 몬스터는 더욱더 당황했다. 어쩔 줄 몰라서 혼란스러운 게 훤히 보였다. 결국 내가 달려들 때조차 오크는 반항다운 반항을 못 했다.	目の前のモンスターはさらに当惑した。 途方にくれて混乱したのが丸見えた。 結局私が駆けつけてくる時さえ奥は反抗らしい反抗をしなかった。 
촤악!	チュワアク! 
내 칼이 부드럽게 오크의 목젖을 갈랐다. 나는 너무 과하지 않게, 그렇다고 덜하지도 않게, 딱 한 방울의 오러를 칼끝에 흘렸다. 쿠웅! 피 분수가 터지면서 오크의 육중한 덩치가 쓰러졌다.	私のナイフがスムーズに奥の喉びこを決めた。 私はとてもあんまりないように、そうと、減ることはなく、ちょうど一滴の今年にを刃先に流した。 クウン! 血噴水が爆発し、奥の巨大な図体が倒れた。 
-취··· 륵···? 그르··· 췩···.	-渠・・・ルク・・・? グル・・・チク・・・。 
무언가 억울하다는 듯 췩췩거리면서.	何か悔しいというようにチクチク距離ながら。 
아마 인간의 말로 바꾸면 ‘브루투스, 너마저!’ 같은 단말마의 비명 아니었을까.	多分、人間の言葉で言い換えれば、'ブルータス、お前も! 'ような断末魔の悲鳴ではなかったろうか。 
“취륵.”	"チュイルク。" 
나는 승리의 미소를 지었다. 오러를 억지로 끌어내어 몸이 아팠지만··· 저번 회차와는 비교할 수 없을 정도로 상태가 멀쩡했다. 괜찮았다. 딱 이 정도로만 오러를 소모하면 별다른 문제가 없었다.	私は勝利の微笑みを浮かべた。 きにを引き摺り出して体調が悪かったが、・・・この前回送とは比較できないほど状態が無傷だった。 良かった。 まさにこの程度にきにを消耗すれば、別に問題がなかった。 
-치사한 새끼! 이럴 줄 알았다!	-死亡したのこ! こうだと思った! 
배후령이 부들부들 떨었다.	ベフリョンが激しく身震いした。 
-그딴 식으로 착한 오크를 속이면 기분 좋냐! 아앙!? 오크들이 어떤 기분이고 어떤 마음일지는 생각하지도 않지!? 너처럼 더러운 인간 때문에 이 세상의 순수한 오크들이 피해를 보는 거야!	-そんなふうに善良な奥の騙すと気持ちいいか! ああん!? 奥らがどんな気分で、どのような心かは思ってもない!? お前のように汚い人間のためにこの世の純粋な奥らが被害を見てんだよ! 
나는 ‘수련법에 귀천은 없다면서요?’ 하고 반문하진 않았다.	私は'修練法に貴賎はないんですって? 'と反問しなかった。 
대신, 그냥 한마디 비웃음을 돌려줬다.	代わりに、そのまま一言嘲笑を返した。 
“취익!”	"チュイイク! " 
-아아악! 화나! 짜증 나! 왜 이런 뺀질이한테 사기 스킬을 준 겁니까, 탑이여!?	-アアアッ! 腹立つ! いらつく なぜこのようなペンジルイに詐欺スキルを与えたのですか、塔よ!? 
일주일이 지났을 때.	一週間が過ぎた時。 
나는 5층 사냥터까지 돌파하였다.	私は5階、狩場まで突破した。 
15화.  너도 스킬이 있어? (3)	15話。 君もスキルがあるの? (3) 
========================	======================== 
3	3
일주일이 지났다.	一週間が過ぎた。 
-고르르···.	-コルル・・・。 
냄비 끓는 소리를 내며 몬스터가 휘청거렸다. 대왕 고블린. 5층 사냥터의 터줏대감이나 다름없는 몬스터가 결국은 목젖이 따인 채 쓰러졌다.	鍋でぜいぜいする音を出し、モンスターが動揺した。 大王ゴブリン。 5階、狩場の氏神と変わりないモンスターが結局は口蓋垂がタインまま倒れた。 
나는 비장한 얼굴로 대왕 고블린의 시체를 내려보았다.	私は、悲壮な顔で大王ゴブリンの死体を下げた。 
“고르.”	"ゴルツ。" 
지난 일주일을 통틀어서 눈앞의 몬스터가 제일 강적이었다. 아, 이 괴물을 잡기 위해서 몇 번이나 죽었던가? 나는 한 명의 명예로운 전사가 되어 라이벌을 떠나보내는 심정으로 대왕 고블린을···.	先週一週間を合わせて目の前のモンスターが一番強敵だった。 あ、この怪物を抑えるために何回もしたっけ? 私は一人の名誉な戦士になってライバルを送る気持ちで大王ゴブリンを・・・。 
-지랄하고 있네. 또라이 좀비 같으니.	-ばかなまねをしているね。 気の狂ったゾンビですから。 
“아. 좀. 6코인 만에 겨우 사냥했잖아요. 감상에 잠기게 가만히 두면 안 됩니까?”	"あ。 ちょっと 6コインぶりにやっと狩りしたじゃないですか。 感傷に浸るようにじっとしておくと駄目ですか? " 
참고로 6코인이란 내가 6번 목숨을 걸었다는 뜻. 지금이 6코인째이니 그동안 대왕 고블린을 잡느라 5번 죽은 셈이었다.	参考に6コインという私が6度命をかけたという意味。 今が6コイン目だから、それまで大王ゴブリンをつかもうと5度死んだのと同然だった。 
배후령이 콧방귀를 뀌었다.	ベフリョンが鼻で言った。 
-몬스터 하나 잡았다고 감상에 잠기면 그게 또라이지 뭐야. 난 팩트밖에 안 말해.	-モンスターの一つ取ったと感傷につかるとそれがトライジんだよ。 私はファクトしか語らない。 
“와, 그러시구나. 우리 검제님 인성도 참 좋으셔.”	"来て、そうですね。 私たちゴムジェ様人性も本当にいいお。" 
배후령과 자유롭게 대화를 나누는 것에서 이미 알겠으나, 나는 어느덧 오러에 익숙해졌다. 지금도 영약의 효과로 시간은 느릿느릿 흐르고 있었다.	ベフリョンと自由に会話を交わすことですでに分かりますが、、私はいつのまにかきにに慣れてきた。 今も霊薬の効果で時間はのろのろ流れていた。 
다만 내가 오러를 혀에 집중하여서 평소보다 ‘훨씬 빨리’ 말하고 있을 뿐.	ただ、私が来にを舌に集中して普段より'はるかに早く'話しているだけ。 
“고르륵.”	"コルルク。" 
정면승부가 아니라 야바위를 써서 이긴 거지만.	正面勝負ではなく、ペテンを使って勝ったのですが。 
나는 똥색 카드 한 장을 꺼내어 확인했다.	私はウンチ色カード一枚を取り出して確認した。 
+	+ 
[고블린 상류사회]	[ゴブリン上流社会] 
랭크: F	ランク:F 
효과: 대왕 고블린은 고심했습니다. ‘우리 고블린의 문화는 수준이 너무 낮다. 모든 언어가 케르륵, 케륵, 으로 끝나다니. 이래서는 본좌의 위엄을 빛낼 수가 없지 않은가!’ 그 때. 대왕 고블린의 천재성이 번뜩였습니다. ‘그렇다! 이제부터 본좌는 케륵이 아니라 고륵이라 말하겠노라. 고륵! 본좌의 고상한 감성에 어울리는 발음이로다.’	効果:大王ゴブリンは苦心しました。 '私たちゴブリンの文化はレベルがとても低い。 すべての言語がケルルク、ケルク、と終わったとは。 これでは俺様の威厳を輝かすことがなくはないか! 'その時。 大王ゴブリンの天才性を光らせました。 'そうだ! これから俺様はケルクではなく、コルクイラ話してやるから! コルク! 俺様の高尚な感性に似合う発音そのものである。' 
※단, 부족 내의 갈등이 심해집니다.	※ただし、部族内の葛藤が激しくなります。 
※몬스터 대왕 고블린으로부터 복사한 스킬입니다.	※モンスター大王ゴブリンからコピーしたスキルです。 
+	+ 
내가 혀를 찼다.	私が舌を鳴らした。 
“고블린들도 참 쓰잘데기없는 걸 신경 쓰네요. 케륵이든 고륵이든 그게 그거인데.”	"ゴブリンたちも本当につまらないのを氣に書きますね。 ケルクイドゥンコルクイドゥンそれがそれなのに。" 
-그러니까 고블린이지. 인간도 별다를 거 없고.	-だからゴブリンであって。 人間も特に変わるものない。 
“네?”	"え? " 
-뭐, 혼잣말이다.	-まあ、独り言だ。 
무슨 뜻이느냐 물으려는 순간, 머릿속에 목소리가 울렸다.	何の意味イヌニャ問うと言っている瞬間、頭の中に声が響いた。 
[당신의 존재가 한층 더 뚜렷해집니다.]	[あなたの存在がさらに明確になります。] 
지금까지 한번도 들어보지 못한 소리.	今まで一度も聞いてみなかった音。 
하지만 나는 이게 뭘 의미하는지 알고 있었다. 수많은 헌터들이 인터뷰에서 증언했고, 심지어 개인 동영상으로 직접 보여주기까지 했으니까.	しかし、私はこれが何を意味するのか知っていた。 数多くのハンターたちがインタビューで証言し、さらには個人動画で直接見せてくれることまでやったんだから。 
“드, 드디어!”	"ドー、いよいよ! " 
바로 레벨업!	すぐにレベルアップ! 
[헌터 김공자의 레벨이 성장합니다.]	[ハンターキムコンジャのレベルが成長します。] 
“아···.”	"あ・・・。" 
감격스러웠다. 일평생 F급짜리 헌터로 살아왔다. 앞으로도 그렇게 살지 모른다며 불안해했다. 하지만 복제 스킬과 회귀 스킬을 얻고, 수많은 고통을 뛰어넘어··· 마침내 나한테도 레벨업의 순간이 도래했다.	感激的だった。 一生涯F級さつハンターとして生きてきた。 今後ともそんなに生きられるか分からないとし、不安した。 しかし、クローンスキルと回帰スキルを得て、数多くの苦痛を乗り越えて・・・とうとう私にもレベルアップの瞬間が到来した。 
[스킬 슬롯이 확장됩니다!]	[スキルスロットが拡張されます! ] 
[이제 당신의 헌터 랭크는 E급입니다!]	[もうあなたのハンターランクはE級です! ] 
비록 아직은 E급에 불과했지만 말이다.	まだはE級に過ぎなかったが、言葉だ。 
[당신에게 행운이 함께하기를.]	[あなたに幸運が一緒になることを。] 
화르륵!	ファルルク! 
발밑에서 붉은색 오러가 확 치솟았다. 불길. 혹은 단순히 빨간 물줄기를 닮은 그것은, 한 차례 내 몸을 뒤덮었다. 그리고 다시 아래로 흘러내려 사라졌다.	足元で、赤いきに行って完全に跳ね上がった。 炎。 あるいは単に赤い水の流れに似たそれは、一度私の体を覆った。 そして再び下へ流れて消えた。 
-···불꽃인가?	-・・・花火か? 
배후령이 앞에서 미간을 좁혔다.	ベフリョンがこれで眉を縮めた。 
-아니, 핏물? 쯥. 헷갈리네. 불꽃이거나 피 같은데···.	-いや、血か。 ツプ。 迷うよね。 花火だったり、血のようですが・・・。 
“방금 그게 레벨업 이펙트였죠?”	"今それがレベルアップ・エフェクトでしたか。 " 
-단순히 보기 멋있으라고 있는 이펙트는 아니지.	-単純なこと、かっこいいようにいるエフェクトはない。 
배후령이 뒤통수를 긁었다.	ベフリョンが後頭部をかいた。 
-일종의 힌트야.	-一種のヒントだよ。 
“힌트요?”	"ヒントですか? " 
-음. 레벨업할 때 어떤 이펙트가 발현되느냐에 따라 [오러의 형태]가 정해지거든. 가령 네가 죽인 염제라는 놈 있잖아. 그놈은 틀림없이 [불]이 자기 오러의 형태였을걸.	-うむ。 レベルアップする際、どのようなエフェクトが発現するかによって、おにの形]が定められんだ。 たとえ君が殺した炎帝というやつあるじゃない。 そのやつはきっと[火]が自分の来にの形ヨッウルゴル。 
“불꽃이라.”	"炎と。" 
나는 기억을 떠올렸다. 염제가 어느 슬럼가 골목에서 성녀를 불태워 죽이던 광경. 다시 떠올리기 싫을 정도로 기분 나쁜 기억이었지만···. 확실히 유수하는 화염이라는 형태로 오러를 다루었을 것 같다.	私は記憶を思い出した。 炎帝があるスラム街の路地で聖女を燃やして殺害した光景。 再び思い出したくないほど気持ち悪い記憶だったが、・・・。 確かに有数の火炎という形で、今年にを扱ったようだ。 
-오러가 어떤 형태로 나타나는가는 보통 헌터의 트라우마에 따라 결정돼.	今年に行ってどのような形で示されるかは普通ハンターのトラウマによって決定されて。 
트라우마.	トラウマ。 
-자기 인생을 결정지을 만큼 중대한 사건. 장면. 기억. 그런 것이 오러의 형태로 나타나는 거지. 무의식의 모습이라고 할까? 뭐, 꼭 부정적인 트라우마일 필요는 없지만. 대체로 그래.	-自分の人生を決めるほどの重大な事件。 場面。 記憶。 そんなものが来にの形で現れるのだ。 無意識の姿かな?! 何、必ず否定的なトラウマである必要はないが・・・。 概してそう。 
“과연.”	"果たして。" 
-내가 볼 때 좀비 너는 불길 아니면 핏물이야.	-私が見る時ゾンビお前は炎でなければ血だよ。 
얘기를 듣다 보니 좀 궁금해졌다.	話を聞いてみたらちょっと気になった。 
“그러고 보면··· 검성은 오러가 어떤 형태인데요?”	"そうしてみたら・・・剣聖は、今年に行ってどんな形ですか。 " 
-달빛.	-月の光。 
배후령이 툭 던지듯 말했다.	ベフリョンが投げつけように言った。 
-마르쿠스 할아범이 어린 시절 산속에서 길을 잃었대. 죽기 싫어서 바득바득 산꼭대기에 올라갔는데, 정상에 가까워지니까 밤하늘을 가린 나뭇잎들이 점점 드문드문해졌다는 거야. 마침내 산꼭대기에 오르니까, 시커먼 밤하늘이 환히 펼쳐져서.	-マルクス・爺さんが、幼いころ山の中で道に迷ったそう。 死にたくなくてしつこくの山の頂上に登れたが、頂上に近づくから夜空を隠した木の葉たちが徐々にまばらになったのか。 ついに山頂に上がるから、真っ黒な夜空が広々と展開て。 
월광(月光).	月光(月光)。 
-그 순간 생각했다더군. 저 달은, 혼자서 스스로 빛나는 게 아니라 태양의 빛을 받아들일 뿐인데, 그저 받아들이기만 하는 삶도 충분히 아름다울 수 있구나. 아. 나도 달빛처럼 받아들임으로써 빛나고 싶다.	-その瞬間、思いしたそうだよ。 あの月は、一人で自ら光るのではなく、太陽の光を受け入れるだけなのに、ただ受け入れてばかりする生も十分に美しいだろうね。 あ 私も月光のように受け入れることで、輝いてみたい。 
“······.”	"・・・・・・。" 
-그게 무척 인상이 깊어서 평생 마음속에 담아두고 살았다는데.	-それが非常に印象が深くて一生心に留めておいて生きたらしい。 
나는 듣다가 어이가 없어졌다.	私は聞いて呆気になくなった。 
“어린 시절이었다면서요?”	"幼い時代だったそうですって? " 
-엉. 12살 때라더라.	-あん。 12歳の時と言った。 
“어떤 12살짜리 꼬마가 그렇게 깊은 생각을 해요?”	"どんな12歳の子供がこんなに深い思いますか。 " 
배후령이 고개를 끄덕였다.	ベフリョンがうなずいた。 
-그러니까 마르쿠스 할아범이 타고난 꼰대지. 쯧쯧. 난 12살 때 어떻게 하면 눈앞의 깡패 새끼를 효율적으로 줘패버릴 수 있을까만 생각했거든.	-だから、マルクス・爺さんが生まれつきのコンデジ。 …。 私は12歳の時どうすれば目の前のやくざ奴を効率的にジュオペしまうことができるかだけ思ったよ。 
“아니, 그것도 좀··· 정상은 아니신 듯···.”	"いや、それもちょっと・・・正常ではないそうに・・・。" 
검성이 타고난 꼰대라면 눈앞의 배후령은 뭘까? 타고난 양아치?	剣聖が生まれつきの年老いたやつらなら目の前のベフリョンは何か。 生まれつきのチンピラ? 
-아무튼 5층도 익숙해졌다. 6층 사냥터로 올라가자.	-とにかく5階も慣れてきた。 6階、狩場に登りましょう。 
“아, 그거 말인데요.”	"あ、それなんですが。" 
내가 말했다.	私が話した。 
“그냥 바로 10층 보스 공략하면 안 됩니까?”	"そのまままっすぐ10階ボス攻略すればだめですか? " 
-뭐?	-え? 
“몬스터 스킬을 복제할 수 있다는 것도 알았고. 오러도 어느 정도 익숙해졌고. 제가 보기에는 충분히 10층 보스도 잡을 수 있어요.”	"モンスタースキルを複製することができるということも知ったし。 きにもある程度慣れたし。 私が見るには十分に10階のボスも捕まえることができます。" 
배후령이 잠깐 입을 다물었다.	ベフリョンがちょっと口をつぐんだ。 
나를 쳐다보는 눈길이 매서웠다.	私を眺める視線が鋭かった。 
-김공자. 애송이 주제에 벌써 자만하기 시작한 거 아니냐?	-キムコンジャ。 若輩のくせにもう自慢し始めたのではないのか? 
“절대 아닙니다.”	"絶対ではないです。" 
내가 단호하게 대답했다.	私が断固として答えた。 
10층!	10階! 
우리 세계에서는 지난 수년 동안 10층을 공략하지 못했다. 난공불락이라 불리는 곳이었다. 그런 고난이도 구역을 감히 클리어하겠다고 말했으니, 배후령 입장에선 충분히 우려할 법했다.	たちの世界ではこの数年間に10階を攻略できなかった。 難攻不落と呼ばれるところだった。 そのような高難易度の区域をあえてクリアすると言ったから、ベフリョンの立場では十分に懸念しがちた。 
“진짜 자신 있어요.”	"本当に自信があります。" 
하지만 나는 정말로 공략할 자신이 있었다.	しかし私は本当に攻略する自信があった。 
아니, 확신이 들었다.	いや、確信が入った。 
“만약 제가 2코인 안에 10층 보스를 못 잡으면 댁을 스승님이라 불러드리죠.”	"もし私が2コインの中に10階のボスをつかめないばお宅を師匠様とお呼びします。" 
-어? 2코인?	-え? 2コイン。 
배후령은 갑자기 혹한 표정이 되었다.	ベフリョンは急に酷寒表情になった。 
-고작 고블린 두목 잡는 데 6코인 걸린 놈이 10층 보스를 2코인만에 잡겠다고? 진짜? 너 모르는 모양인데 나는 내기에서 봐준 적이 없어.	-たったゴブリンのボス、つかむのに6コインのかかったやつが10階のボスを2コインで決めると? 本当？ あなた知らないようだが私は賭けで見たことがない。 
“단! 조건이 있습니다.”	"ただし! 条件があります。" 
-응?	ーん? 
내가 검지를 들었다.	私が検知を聞いた。 
“10층 보스가 어떤 스킬을 가지고 있는지 저한테 숨기지 말고 다 말해주기. 이건 거짓말치면 안 됩니다. 카드를 속이는 것도 금지예요.”	"10階のボスがどんなスキルを持っているか私に隠しず言ってくれる。 これは嘘ついちゃいけません。 カードを騙すのも禁止です。" 
-흐음. 뭐 그 정도쯤이야···.	-ふーむ。 何その程度のことくらい・・・。 
“그리고!”	"そして! " 
나는 씩 웃었다.	私はにやりと笑った。 
“제가 이기면 절 공자님이라 부르십쇼. 최대한 공손하게. 예의와 예절을 갖추어서요.”	"私が勝ったら私を孔子様と呼んてください。 できるだけ丁寧に。 礼儀と礼儀を備えてです。" 
-······.	-・・・・・・。 
“왜요? 쫄? 에이. 쫄리면 관두시든가.”	"なぜですか? つつき。 エイ。 チョルリならやめか。" 
꿈틀.	五分の魂。 
양아치가 제일 듣기 싫어하는 말을 하나 뽑으라면 바로 ‘쫄리냐?’ 일 거다. 그리고 배후령은 보통 양아치가 아니었다. 자그마치 99층까지 공략한 이세계 최강의 양아치였던 거다.	チンピラが一番聞きたくない言葉を一つ選んでほしいと言ったら、すぐ'チョルリか? 'だろう。 そしてベフリョンは普通チンピラがなかった。 なんと99階まで攻略したこの世界最強のチンピラだったのだ。 
배후령은 안면 근육이 꿈틀거렸다.	ベフリョンは顔面の筋肉がくすぐった。 
-카악, 퉷! 이 천둥벌거숭이가 사기 스킬 좀 가졌다고 버릇없이 천하의 검제님을 우롱해? 오오냐, 좋다. 어디 내기판을 벌여보자!	-カアク、トェッ! この我がまま者が詐欺スキルを持ったと無遠慮に天下のゴムジェ様を愚弄して? きオニャ、いいな。 どこの賭けのゲームを行いてみよう! 
“콜.”	"コール。" 
-콜! 김좀비 너는 10층 보스를 공략하지 못하고 평생 죽을 때까지 날 스승님이라 부르게 될 것이여. 아! 넌 죽지도 못하니까 그냥 영원히 스승님 소리를 입에 달고 살아야겠네.	-コロンビア! キムジョムビ君は10階のボスを攻略できずに一生死ぬまで私の師と呼ばれるようになるのよ。 あ！ 君は死ぬこともできないからそのまま永遠に師の音を口にしていなきゃ。 
“망상 스킬 갖고 있으세요? 어서 공자님 모실 준비나 하십쇼.”	"妄想スキル持っていますか? 早く孔子に仕えていた準備もしてください。" 
-흐흐흐.	-フフフ。 
“크흐흐.”	"グフフぅっ。" 
우린 서로 노려보며 음흉한 웃음을 흘렸다.	私たちは互いに対して陰険な笑いをこぼした。 
멀리서 고블린을 사냥하던 헌터들이 수군거렸다.	遠くからゴブリンを狩りしたハンターたちがひそひそと話した。 
“야. 저 사람 아까부터 계속 혼잣말로 중얼거려.”	"おい。 あの人さっきからずっと独り言をつぶやいて。" 
“이제는 아예 혼자서 웃기까지 하네. 정신에 문제가 있나?”	"これは、一人で笑ったりもしね。 精神に問題があるのか? " 
“쉿! 이쪽 쳐다볼라. 모르는 척해, 모르는 척.”	"シッ! こちらを見に。 知らないふりして、知らないふりを。" 
“······.”	"・・・・・・。" 
···되도록 혼잣말은 좀 줄여야겠다.	・・・ように独り言はちょっと減らさなければならない。 
나는 얌전히 입을 닥치고 10층으로 향했다.	私は神妙に口をつぐんで10階に向かった。 
4	4
10층 보스방 앞에는 다른 사냥터와 달리 관리인이 서 있었다.	10階のボスの部屋の前には他の狩場と違って、管理人が立っていた。 
헌터관리국에서 파견된 사람은 내 얘기를 듣더니 눈썹을 찡그렸다.	ハンター管理局から派遣された人は私の話を聞いて、眉をひそめた。 
“혼자서 보스에 도전하시겠다고요?”	"一人でボスに挑戦しなさるとですか。 " 
“예.”	"はい。" 
